"participant","gn_pid","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete","gn_block","gn_blockcomplete"
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN01",1,"1",1,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN11",1,"1",1,1,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN19",1,"1",1,1,1,"Block3",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN02",2,"2",2,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN15",2,"2",2,1,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN18",2,"2",2,1,1,"Block3",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN07",3,"3",3,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN14",3,"3",3,1,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN23",3,"3",3,1,1,"Block3",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN03",4,"4",4,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN09",4,"4",4,1,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN21",4,"4",4,1,1,"Block3",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN06",5,"5",5,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN12",5,"5",5,1,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN20",5,"5",5,1,1,"Block3",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN05",6,"6",6,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN10",6,"6",6,1,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN24",6,"6",6,1,1,"Block3",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN04",8,"8",8,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN16",8,"8",8,1,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN22",8,"8",8,1,1,"Block3",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN08",10,"10",10,1,1,"Block1",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN13",10,"11",11,0,1,"Block2",1
"mn033_UChiCogDevLab","mn033","UChiCogDevLab","R_68x0wCm2QavRfKV","Yes (Please include date of testing)","09/01/2026","","GN17",10,"10",10,1,1,"Block3",1
